SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.630,0.6348,+6.28555901E-01,+6.28547543E-01,+6.28573607E-01,+7.17440620E-06
0.640,0.6446,+6.38342636E-01,+6.38326967E-01,+6.38353631E-01,+8.75804261E-06
0.650,0.6544,+6.48131258E-01,+6.48124667E-01,+6.48139346E-01,+4.60624274E-06
0.660,0.6646,+6.58441131E-01,+6.58433462E-01,+6.58446344E-01,+3.28235072E-06
0.670,0.6744,+6.68089786E-01,+6.68081667E-01,+6.68106233E-01,+7.76439514E-06
0.680,0.6841,+6.77900577E-01,+6.77889552E-01,+6.77904831E-01,+4.27435465E-06
0.690,0.6945,+6.88268391E-01,+6.88261860E-01,+6.88275940E-01,+4.35957658E-06
0.700,0.7044,+6.98047156E-01,+6.98034394E-01,+6.98070044E-01,+1.07811446E-05
0.710,0.7146,+7.08397863E-01,+7.08391722E-01,+7.08409397E-01,+5.68151594E-06
0.720,0.7243,+7.18099814E-01,+7.18089658E-01,+7.18111528E-01,+6.30622001E-06
0.730,0.7341,+7.27850478E-01,+7.27839723E-01,+7.27860095E-01,+6.69018993E-06
0.740,0.7444,+7.38158644E-01,+7.38148518E-01,+7.38165295E-01,+5.22487071E-06
0.750,0.7541,+7.47915300E-01,+7.47898883E-01,+7.47928841E-01,+9.40417938E-06
0.760,0.7646,+7.58316278E-01,+7.58296356E-01,+7.58337399E-01,+1.44996760E-05
0.770,0.7742,+7.68073863E-01,+7.68067392E-01,+7.68078776E-01,+3.75192775E-06
0.780,0.7841,+7.77844449E-01,+7.77837229E-01,+7.77862395E-01,+7.77364459E-06
0.790,0.7943,+7.88137935E-01,+7.88121458E-01,+7.88150518E-01,+1.02710787E-05
0.800,0.8041,+7.97956036E-01,+7.97946120E-01,+7.97967990E-01,+7.39979572E-06
0.810,0.8139,+8.07765000E-01,+8.07757600E-01,+8.07771681E-01,+3.93370900E-06
0.820,0.8242,+8.18025622E-01,+8.18012470E-01,+8.18039433E-01,+9.60219427E-06
0.830,0.8340,+8.27784854E-01,+8.27776615E-01,+8.27794590E-01,+5.96208476E-06
0.840,0.8440,+8.37763354E-01,+8.37749873E-01,+8.37777135E-01,+9.11552274E-06
0.850,0.8540,+8.47814893E-01,+8.47809711E-01,+8.47819297E-01,+2.40061360E-06
0.860,0.8638,+8.57561303E-01,+8.57549889E-01,+8.57572658E-01,+7.36819856E-06
0.870,0.8740,+8.67894964E-01,+8.67883849E-01,+8.67902424E-01,+5.68970747E-06
0.880,0.8839,+8.77754798E-01,+8.77745960E-01,+8.77761838E-01,+5.56175736E-06
0.890,0.8943,+8.88102988E-01,+8.88093402E-01,+8.88109879E-01,+5.24919709E-06
0.900,0.9042,+8.97981936E-01,+8.97975884E-01,+8.97992661E-01,+5.51081125E-06
0.910,0.9138,+9.07773104E-01,+9.07743625E-01,+9.07790360E-01,+1.58539112E-05
0.920,0.9243,+9.18139989E-01,+9.18124920E-01,+9.18162668E-01,+1.20097027E-05
0.930,0.9342,+9.28046528E-01,+9.28030470E-01,+9.28057733E-01,+7.84803999E-06
0.940,0.9441,+9.37904504E-01,+9.37897973E-01,+9.37910257E-01,+4.64659448E-06
0.950,0.9544,+9.48286549E-01,+9.48272977E-01,+9.48298143E-01,+7.64511623E-06
0.960,0.9642,+9.58090150E-01,+9.58086555E-01,+9.58100336E-01,+4.24737989E-06
0.970,0.9746,+9.68459192E-01,+9.68442684E-01,+9.68470846E-01,+9.16113647E-06
0.980,0.9845,+9.78339188E-01,+9.78314382E-01,+9.78356024E-01,+1.21248167E-05
0.990,0.9944,+9.88262594E-01,+9.88253486E-01,+9.88267267E-01,+3.91346312E-06
1.000,1.0049,+9.98705873E-01,+9.98696197E-01,+9.98714771E-01,+5.93155129E-06
1.010,1.0146,+1.00852802E+00,+1.00851936E+00,+1.00854003E+00,+6.31331092E-06
1.020,1.0249,+1.01885542E+00,+1.01883445E+00,+1.01886830E+00,+1.27801414E-05
1.030,1.0349,+1.02874278E+00,+1.02872682E+00,+1.02875408E+00,+9.69111771E-06
1.040,1.0448,+1.03864010E+00,+1.03862578E+00,+1.03865004E+00,+8.71875842E-06
1.050,1.0551,+1.04904314E+00,+1.04902624E+00,+1.04905920E+00,+1.17055332E-05
1.060,1.0651,+1.05890852E+00,+1.05889944E+00,+1.05891921E+00,+6.00980661E-06
1.070,1.0754,+1.06932726E+00,+1.06931549E+00,+1.06934335E+00,+8.96367706E-06
1.080,1.0853,+1.07916160E+00,+1.07915573E+00,+1.07916771E+00,+3.80172400E-06
1.090,1.0951,+1.08898884E+00,+1.08897979E+00,+1.08899836E+00,+5.86884461E-06
1.100,1.1051,+1.09890113E+00,+1.09889373E+00,+1.09890991E+00,+6.10314891E-06
1.110,1.1149,+1.10885372E+00,+1.10884482E+00,+1.10886129E+00,+5.27652622E-06
1.120,1.1254,+1.11928261E+00,+1.11927255E+00,+1.11929502E+00,+6.32859175E-06
1.130,1.1353,+1.12921075E+00,+1.12919697E+00,+1.12922483E+00,+8.77950317E-06
1.140,1.1451,+1.13903053E+00,+1.13902283E+00,+1.13904261E+00,+6.36935315E-06
1.150,1.1550,+1.14888713E+00,+1.14887506E+00,+1.14890352E+00,+8.21550087E-06
1.160,1.1654,+1.15926828E+00,+1.15925575E+00,+1.15927972E+00,+8.90315389E-06
1.170,1.1754,+1.16918371E+00,+1.16916909E+00,+1.16919606E+00,+8.52726680E-06
1.180,1.1852,+1.17903276E+00,+1.17902192E+00,+1.17903869E+00,+4.74407200E-06
1.190,1.1951,+1.18892190E+00,+1.18890500E+00,+1.18893975E+00,+1.16571566E-05
1.200,1.2051,+1.19885854E+00,+1.19884890E+00,+1.19886837E+00,+6.48080606E-06
1.210,1.2155,+1.20923328E+00,+1.20922210E+00,+1.20924817E+00,+9.05134850E-06
1.220,1.2252,+1.21904332E+00,+1.21903149E+00,+1.21905156E+00,+5.58264800E-06
1.230,1.2351,+1.22892727E+00,+1.22890468E+00,+1.22894602E+00,+1.26716307E-05
1.240,1.2450,+1.23876655E+00,+1.23876050E+00,+1.23877218E+00,+3.23434158E-06
1.250,1.2552,+1.24916708E+00,+1.24915558E+00,+1.24918074E+00,+7.90388268E-06
1.260,1.2651,+1.25906238E+00,+1.25903986E+00,+1.25908929E+00,+1.92850446E-05
1.270,1.2750,+1.26893906E+00,+1.26893103E+00,+1.26894840E+00,+5.46505039E-06
1.280,1.2850,+1.27883957E+00,+1.27882579E+00,+1.27885994E+00,+8.92144107E-06
1.290,1.2948,+1.28871424E+00,+1.28869719E+00,+1.28872086E+00,+6.54775064E-06
1.300,1.3052,+1.29911566E+00,+1.29910485E+00,+1.29913361E+00,+8.91790615E-06
1.310,1.3152,+1.30901927E+00,+1.30900950E+00,+1.30903047E+00,+5.60188539E-06
1.320,1.3251,+1.31893932E+00,+1.31892703E+00,+1.31895490E+00,+9.56335351E-06
1.330,1.3349,+1.32880230E+00,+1.32879124E+00,+1.32882000E+00,+9.22747714E-06
1.340,1.3452,+1.33919429E+00,+1.33918362E+00,+1.33920250E+00,+6.12388778E-06
1.350,1.3550,+1.34894549E+00,+1.34892770E+00,+1.34896844E+00,+1.36134076E-05
1.360,1.3649,+1.35874975E+00,+1.35873258E+00,+1.35876524E+00,+9.83730603E-06
1.370,1.3743,+1.36830311E+00,+1.36829421E+00,+1.36831428E+00,+5.80931282E-06
1.380,1.3852,+1.37914187E+00,+1.37913387E+00,+1.37915424E+00,+6.09426524E-06
1.390,1.3950,+1.38896057E+00,+1.38894835E+00,+1.38896932E+00,+6.92790225E-06
1.400,1.4048,+1.39872705E+00,+1.39871249E+00,+1.39874425E+00,+9.77241282E-06
1.410,1.4147,+1.40859168E+00,+1.40857431E+00,+1.40860666E+00,+9.74277302E-06
1.420,1.4245,+1.41852012E+00,+1.41850712E+00,+1.41853138E+00,+8.14547140E-06
1.430,1.4350,+1.42904096E+00,+1.42902802E+00,+1.42905169E+00,+6.51530163E-06
1.440,1.4449,+1.43889624E+00,+1.43888474E+00,+1.43890481E+00,+6.90112014E-06
1.450,1.4547,+1.44877160E+00,+1.44875494E+00,+1.44879448E+00,+1.31908190E-05
1.460,1.4647,+1.45866262E+00,+1.45863982E+00,+1.45867547E+00,+1.15490440E-05
1.470,1.4751,+1.46902953E+00,+1.46901542E+00,+1.46905407E+00,+1.39740004E-05
1.480,1.4850,+1.47895755E+00,+1.47894194E+00,+1.47897460E+00,+8.30506832E-06
1.490,1.4948,+1.48883024E+00,+1.48881544E+00,+1.48883731E+00,+5.71765924E-06
1.500,1.5047,+1.49874007E+00,+1.49872039E+00,+1.49875724E+00,+1.40787351E-05
1.510,1.5146,+1.50856863E+00,+1.50854745E+00,+1.50859688E+00,+1.74646695E-05
1.520,1.5251,+1.51897416E+00,+1.51896469E+00,+1.51898237E+00,+5.36789384E-06
1.530,1.5350,+1.52878043E+00,+1.52877378E+00,+1.52878666E+00,+4.55493181E-06
1.540,1.5447,+1.53867471E+00,+1.53865656E+00,+1.53869221E+00,+1.38409249E-05
1.550,1.5552,+1.54912545E+00,+1.54911485E+00,+1.54914690E+00,+1.05369650E-05
1.560,1.5650,+1.55900437E+00,+1.55898954E+00,+1.55901291E+00,+6.87907713E-06
1.570,1.5750,+1.56889350E+00,+1.56888311E+00,+1.56889929E+00,+5.34928857E-06
1.580,1.5849,+1.57876271E+00,+1.57874702E+00,+1.57877218E+00,+7.86631721E-06
1.590,1.5946,+1.58861431E+00,+1.58860313E+00,+1.58862321E+00,+7.62159071E-06
1.600,1.6051,+1.59902104E+00,+1.59899551E+00,+1.59904525E+00,+1.66656548E-05
1.610,1.6150,+1.60887290E+00,+1.60885762E+00,+1.60888788E+00,+9.08399035E-06
1.620,1.6249,+1.61880293E+00,+1.61879853E+00,+1.61880871E+00,+3.16796024E-06
1.630,1.6347,+1.62872256E+00,+1.62870977E+00,+1.62873044E+00,+7.02601997E-06
1.640,1.6452,+1.63918870E+00,+1.63917705E+00,+1.63919981E+00,+6.62949295E-06
1.650,1.6551,+1.64905228E+00,+1.64904335E+00,+1.64906612E+00,+6.55105619E-06
1.660,1.6650,+1.65889701E+00,+1.65888629E+00,+1.65890636E+00,+7.12088437E-06
1.670,1.6748,+1.66878704E+00,+1.66878135E+00,+1.66879274E+00,+4.01264781E-06
1.680,1.6848,+1.67873831E+00,+1.67873124E+00,+1.67874772E+00,+5.50819161E-06
1.690,1.6951,+1.68909942E+00,+1.68908318E+00,+1.68911703E+00,+1.02086984E-05
1.700,1.7050,+1.69895877E+00,+1.69894589E+00,+1.69897045E+00,+8.35302797E-06
1.710,1.7148,+1.70883128E+00,+1.70882807E+00,+1.70883346E+00,+1.68455634E-06
1.720,1.7246,+1.71872532E+00,+1.71872284E+00,+1.71873003E+00,+2.66959616E-06
1.730,1.7350,+1.72898987E+00,+1.72897321E+00,+1.72900766E+00,+1.04118712E-05
1.740,1.7450,+1.73888922E+00,+1.73887726E+00,+1.73890303E+00,+7.58066462E-06
1.750,1.7550,+1.74888608E+00,+1.74887689E+00,+1.74889756E+00,+7.20883620E-06
1.760,1.7649,+1.75879145E+00,+1.75877794E+00,+1.75879921E+00,+6.34876909E-06
1.770,1.7753,+1.76922631E+00,+1.76921915E+00,+1.76923084E+00,+3.26930254E-06
1.780,1.7850,+1.77900448E+00,+1.77898899E+00,+1.77901476E+00,+7.22003932E-06
1.790,1.7950,+1.78887845E+00,+1.78886968E+00,+1.78888915E+00,+6.66400187E-06
1.800,1.8048,+1.79878182E+00,+1.79876894E+00,+1.79879979E+00,+9.04737350E-06
1.810,1.8151,+1.80917429E+00,+1.80916551E+00,+1.80918618E+00,+6.14856653E-06
1.820,1.8252,+1.81910420E+00,+1.81909083E+00,+1.81911989E+00,+9.34332514E-06
1.830,1.8349,+1.82896846E+00,+1.82895924E+00,+1.82897601E+00,+5.05893874E-06
1.840,1.8449,+1.83881757E+00,+1.83880397E+00,+1.83883483E+00,+9.44362193E-06
1.850,1.8552,+1.84924905E+00,+1.84923799E+00,+1.84925896E+00,+6.67947771E-06
1.860,1.8653,+1.85915945E+00,+1.85914774E+00,+1.85917320E+00,+6.68605655E-06
1.870,1.8751,+1.86903456E+00,+1.86902782E+00,+1.86904550E+00,+4.71654119E-06
1.880,1.8849,+1.87887286E+00,+1.87886357E+00,+1.87888364E+00,+5.78142011E-06
1.890,1.8953,+1.88924987E+00,+1.88923348E+00,+1.88926823E+00,+1.25311767E-05
1.900,1.9047,+1.89861320E+00,+1.89859109E+00,+1.89863213E+00,+1.14392013E-05
1.910,1.9151,+1.90898805E+00,+1.90897717E+00,+1.90900084E+00,+7.03236934E-06
1.920,1.9253,+1.91922557E+00,+1.91921347E+00,+1.91923684E+00,+6.88298169E-06
1.930,1.9350,+1.92899802E+00,+1.92898181E+00,+1.92900997E+00,+1.02871988E-05
1.940,1.9448,+1.93873987E+00,+1.93873307E+00,+1.93874895E+00,+5.65895017E-06
1.950,1.9545,+1.94849710E+00,+1.94849153E+00,+1.94850621E+00,+5.09510775E-06
1.960,1.9649,+1.95882171E+00,+1.95880272E+00,+1.95883537E+00,+9.68382890E-06
1.970,1.9747,+1.96862996E+00,+1.96862019E+00,+1.96864086E+00,+6.20099608E-06
1.980,1.9845,+1.97838712E+00,+1.97836426E+00,+1.97840171E+00,+1.26623226E-05
1.990,1.9943,+1.98825202E+00,+1.98823956E+00,+1.98826292E+00,+8.35754577E-06
2.000,2.0047,+1.99859215E+00,+1.99857681E+00,+1.99860198E+00,+7.30989672E-06
2.010,2.0145,+2.00843302E+00,+2.00842514E+00,+2.00845001E+00,+8.60399809E-06
2.020,2.0243,+2.01821616E+00,+2.01820636E+00,+2.01822883E+00,+7.43082527E-06
