Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.058,0.0619,+5.61352697E-02,+5.61272242E-02,+5.61489053E-02,+6.10394407E-06
0.059,0.0623,+5.66640638E-02,+5.66532046E-02,+5.66782815E-02,+7.20711173E-06
0.060,0.0633,+5.77044677E-02,+5.76946795E-02,+5.77121437E-02,+5.29051943E-06
0.061,0.0644,+5.87377888E-02,+5.87229441E-02,+5.87566039E-02,+1.00828307E-05
0.062,0.0655,+5.97753155E-02,+5.97649414E-02,+5.97841223E-02,+6.45371538E-06
0.063,0.0664,+6.08090919E-02,+6.08019756E-02,+6.08186935E-02,+4.99465800E-06
0.064,0.0675,+6.18679825E-02,+6.18609893E-02,+6.18789760E-02,+4.93852981E-06
0.065,0.0685,+6.28998482E-02,+6.28870150E-02,+6.29088080E-02,+6.81222313E-06
0.066,0.0696,+6.39422970E-02,+6.39344605E-02,+6.39475960E-02,+3.80518026E-06
0.067,0.0707,+6.49488097E-02,+6.49413053E-02,+6.49622027E-02,+7.64117499E-06
0.068,0.0717,+6.59883665E-02,+6.59832280E-02,+6.59934528E-02,+3.31998158E-06
0.069,0.0727,+6.70464697E-02,+6.70397042E-02,+6.70547428E-02,+4.56264339E-06
0.070,0.0738,+6.80909560E-02,+6.80705437E-02,+6.81055842E-02,+1.19501219E-05
0.071,0.0748,+6.91143434E-02,+6.91037342E-02,+6.91284379E-02,+8.02059787E-06
0.072,0.0759,+7.01591879E-02,+7.01487168E-02,+7.01752864E-02,+7.35889363E-06
0.073,0.0769,+7.11876317E-02,+7.11820939E-02,+7.11926546E-02,+3.66549849E-06
